id,sentence_text,label,label_text,control,framework,criterion,source,seed_id,seed_text,validated,split
S0001,A boundary firewall is in place between our internal network and the internet.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,boundary firewall in place and configured,ce_definition,S0001,A boundary firewall is in place between our internal network and the internet.,True,train
S0002,The office router's firewall is configured and active on all connections.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,boundary firewall in place and configured,ce_definition,S0002,The office router's firewall is configured and active on all connections.,True,train
S0004,"Software firewalls are switched on for all staff devices, including those used off-site.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,host/software firewalls enabled on devices,ce_definition,S0004,"Software firewalls are switched on for all staff devices, including those used off-site.",True,train
S0005,The default password on our router was changed when it was installed.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,default router/firewall passwords changed,ce_definition,S0005,The default password on our router was changed when it was installed.,True,train
S0006,"We replaced the manufacturer's password on the firewall with a strong, unique one.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,default router/firewall passwords changed,ce_definition,S0006,"We replaced the manufacturer's password on the firewall with a strong, unique one.",True,train
S0007,Inbound connections are blocked by default unless specifically approved.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections blocked by default,ce_definition,S0007,Inbound connections are blocked by default unless specifically approved.,True,train
S0008,Unapproved incoming traffic is denied at the network boundary.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections blocked by default,ce_definition,S0008,Unapproved incoming traffic is denied at the network boundary.,True,train
S0009,Firewall rules are reviewed by our IT provider every six months.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,firewall rules reviewed periodically,ce_definition,S0009,Firewall rules are reviewed by our IT provider every six months.,True,train
S0011,The firewall's administrative interface is not accessible from the internet.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,admin interface protected / not internet-facing,ce_definition,S0011,The firewall's administrative interface is not accessible from the internet.,True,train
S0014,Unused ports on the network equipment have been disabled.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections blocked by default,ce_definition,S0014,Unused ports on the network equipment have been disabled.,True,train
S0015,There is no firewall protecting the home's network from the internet.,0,NON_COMPLIANT,CE1_Firewalls,Cyber Essentials,no firewall at the network boundary,ce_definition,S0015,There is no firewall protecting the home's network from the internet.,True,train
S0016,The broadband router was installed without any firewall configuration.,0,NON_COMPLIANT,CE1_Firewalls,Cyber Essentials,no firewall at the network boundary,cqc_style,S0016,The broadband router was installed without any firewall configuration.,True,train
S0017,Software firewalls have been turned off on several office computers.,0,NON_COMPLIANT,CE1_Firewalls,Cyber Essentials,firewalls disabled or absent on devices,ce_definition,S0017,Software firewalls have been turned off on several office computers.,True,train
S0019,The router is still using the default password printed on the label.,0,NON_COMPLIANT,CE1_Firewalls,Cyber Essentials,default router/firewall passwords still in use,ce_definition,S0019,The router is still using the default password printed on the label.,True,train
S0020,Nobody changed the manufacturer's password when the firewall was set up.,0,NON_COMPLIANT,CE1_Firewalls,Cyber Essentials,default router/firewall passwords still in use,cqc_style,S0020,Nobody changed the manufacturer's password when the firewall was set up.,True,train
S0021,Incoming connections from the internet are not restricted.,0,NON_COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections open or unrestricted,ce_definition,S0021,Incoming connections from the internet are not restricted.,True,train
S0022,The firewall allows all inbound traffic through by default.,0,NON_COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections open or unrestricted,ce_definition,S0022,The firewall allows all inbound traffic through by default.,True,train
S0023,The firewall settings have not been reviewed since the system was installed.,0,NON_COMPLIANT,CE1_Firewalls,Cyber Essentials,firewall never reviewed or configured,cqc_style,S0023,The firewall settings have not been reviewed since the system was installed.,True,train
S0025,The router's admin console can be reached from the internet without protection.,0,NON_COMPLIANT,CE1_Firewalls,Cyber Essentials,admin console exposed to internet without protection,ce_definition,S0025,The router's admin console can be reached from the internet without protection.,True,train
S0027,All ports on the router were left open when the network was set up.,0,NON_COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections open or unrestricted,ce_definition,S0027,All ports on the router were left open when the network was set up.,True,train
S0029,Default passwords are changed on every new device before staff use it.,1,COMPLIANT,CE2_SecureConfig,Cyber Essentials,default passwords changed before deployment,ce_definition,S0029,Default passwords are changed on every new device before staff use it.,True,train
S0031,Software that is not needed for care delivery has been removed from our computers.,1,COMPLIANT,CE2_SecureConfig,Cyber Essentials,unnecessary software removed or disabled,ce_definition,S0031,Software that is not needed for care delivery has been removed from our computers.,True,train
S0032,We uninstall any applications that are not required for staff to do their jobs.,1,COMPLIANT,CE2_SecureConfig,Cyber Essentials,unnecessary software removed or disabled,ce_definition,S0032,We uninstall any applications that are not required for staff to do their jobs.,True,train
S0034,Dormant accounts are identified and closed during our quarterly account review.,1,COMPLIANT,CE2_SecureConfig,Cyber Essentials,unused user accounts disabled/removed,ce_definition,S0034,Dormant accounts are identified and closed during our quarterly account review.,True,train
