id,label,control
S0002,1,CE1_Firewalls
S0004,1,CE1_Firewalls
S0008,1,CE1_Firewalls
S0011,1,CE1_Firewalls
S0019,0,CE1_Firewalls
S0020,0,CE1_Firewalls
S0032,1,CE2_SecureConfig
S0037,1,CE2_SecureConfig
S0042,0,CE2_SecureConfig
S0045,0,CE2_SecureConfig
S0057,1,CE3_Patching
S0058,1,CE3_Patching
S0069,0,CE3_Patching
S0087,0,CE4_AccessControl
S0114,0,CE5_Malware
S0125,1,DSPT1_ConfidentialData
S0142,0,DSPT2_StaffResponsibilities
S0148,1,DSPT3_Training
S0150,1,DSPT3_Training
S0152,1,DSPT3_Training
S0159,0,DSPT3_Training
S0166,1,DSPT4_DataAccess
S0181,0,DSPT4_DataAccess
S0190,0,DSPT5_ProcessReviews
S0195,1,DSPT6_Incidents
S0196,1,DSPT6_Incidents
S0220,0,DSPT7_Continuity
S0235,0,DSPT8_UnsupportedSystems
S0238,1,DSPT9_ITProtection
S0244,1,DSPT9_ITProtection
S0246,1,DSPT9_ITProtection
S0260,1,DSPT10_Suppliers
P00003,1,CE1_Firewalls
P00006,1,CE1_Firewalls
P00007,1,CE1_Firewalls
P00019,1,CE1_Firewalls
P00021,1,CE1_Firewalls
P00024,1,CE1_Firewalls
P00037,1,CE1_Firewalls
P00039,1,CE1_Firewalls
P00040,1,CE1_Firewalls
P00053,1,CE1_Firewalls
P00079,1,CE1_Firewalls
P00082,1,CE1_Firewalls
P00084,1,CE1_Firewalls
P00087,0,CE1_Firewalls
P00089,0,CE1_Firewalls
P00090,0,CE1_Firewalls
P00091,0,CE1_Firewalls
P00098,0,CE1_Firewalls
P00099,0,CE1_Firewalls
P00116,0,CE1_Firewalls
P00118,0,CE1_Firewalls
P00127,0,CE1_Firewalls
P00132,0,CE1_Firewalls
P00134,0,CE1_Firewalls
P00136,0,CE1_Firewalls
P00137,0,CE1_Firewalls
P00145,0,CE1_Firewalls
P00146,0,CE1_Firewalls
P00148,0,CE1_Firewalls
P00158,0,CE1_Firewalls
P00160,0,CE1_Firewalls
P00171,1,CE2_SecureConfig
P00172,1,CE2_SecureConfig
P00180,1,CE2_SecureConfig
P00188,1,CE2_SecureConfig
P00208,1,CE2_SecureConfig
P00212,1,CE2_SecureConfig
P00214,1,CE2_SecureConfig
P00221,1,CE2_SecureConfig
P00245,0,CE2_SecureConfig
P00248,0,CE2_SecureConfig
P00254,0,CE2_SecureConfig
P00282,0,CE2_SecureConfig
P00288,0,CE2_SecureConfig
P00289,0,CE2_SecureConfig
P00292,0,CE2_SecureConfig
P00304,0,CE2_SecureConfig
P00307,0,CE2_SecureConfig
P00323,1,CE3_Patching
P00324,1,CE3_Patching
P00334,1,CE3_Patching
P00336,1,CE3_Patching
P00342,1,CE3_Patching
P00346,1,CE3_Patching
P00351,1,CE3_Patching
P00352,1,CE3_Patching
P00354,1,CE3_Patching
P00357,1,CE3_Patching
P00386,0,CE3_Patching
P00387,0,CE3_Patching
P00389,0,CE3_Patching
P00393,0,CE3_Patching
P00395,0,CE3_Patching
P00398,0,CE3_Patching
P00400,0,CE3_Patching
P00407,0,CE3_Patching
P00409,0,CE3_Patching
P00420,0,CE3_Patching
P00429,0,CE3_Patching
P00430,0,CE3_Patching
P00448,1,CE4_AccessControl
P00452,1,CE4_AccessControl
P00454,1,CE4_AccessControl
P00467,1,CE4_AccessControl
P00468,1,CE4_AccessControl
P00472,1,CE4_AccessControl
P00478,1,CE4_AccessControl
P00479,1,CE4_AccessControl
P00482,1,CE4_AccessControl
P00516,1,CE4_AccessControl
P00517,0,CE4_AccessControl
P00522,0,CE4_AccessControl
P00523,0,CE4_AccessControl
P00527,0,CE4_AccessControl
P00531,0,CE4_AccessControl
P00553,0,CE4_AccessControl
P00558,0,CE4_AccessControl
P00561,0,CE4_AccessControl
P00578,0,CE4_AccessControl
P00614,1,CE5_Malware
P00615,1,CE5_Malware
P00617,1,CE5_Malware
P00621,1,CE5_Malware
P00649,1,CE5_Malware
P00656,1,CE5_Malware
P00657,1,CE5_Malware
P00659,1,CE5_Malware
P00673,0,CE5_Malware
P00675,0,CE5_Malware
P00676,0,CE5_Malware
P00680,0,CE5_Malware
P00681,0,CE5_Malware
P00682,0,CE5_Malware
P00684,0,CE5_Malware
P00690,0,CE5_Malware
P00700,0,CE5_Malware
P00701,0,CE5_Malware
P00704,0,CE5_Malware
P00709,0,CE5_Malware
P00711,0,CE5_Malware
P00722,0,CE5_Malware
P00748,1,DSPT1_ConfidentialData
P00753,1,DSPT1_ConfidentialData
P00783,0,DSPT1_ConfidentialData
P00797,0,DSPT1_ConfidentialData
P00802,1,DSPT2_StaffResponsibilities
P00814,1,DSPT2_StaffResponsibilities
P00817,1,DSPT2_StaffResponsibilities
P00846,0,DSPT2_StaffResponsibilities
P00868,1,DSPT3_Training
P00884,1,DSPT3_Training
P00885,1,DSPT3_Training
P00892,1,DSPT3_Training
P00897,1,DSPT3_Training
P00904,1,DSPT3_Training
P00906,1,DSPT3_Training
P00910,1,DSPT3_Training
P00915,1,DSPT3_Training
P00932,0,DSPT3_Training
P00939,0,DSPT3_Training
P00940,0,DSPT3_Training
P00942,0,DSPT3_Training
P00948,0,DSPT3_Training
P00970,0,DSPT3_Training
P00973,0,DSPT3_Training
P01001,1,DSPT4_DataAccess
P01003,1,DSPT4_DataAccess
P01005,1,DSPT4_DataAccess
P01007,1,DSPT4_DataAccess
P01010,1,DSPT4_DataAccess
P01013,1,DSPT4_DataAccess
P01016,1,DSPT4_DataAccess
P01030,1,DSPT4_DataAccess
P01032,1,DSPT4_DataAccess
P01036,0,DSPT4_DataAccess
P01058,0,DSPT4_DataAccess
P01062,0,DSPT4_DataAccess
P01063,0,DSPT4_DataAccess
P01065,0,DSPT4_DataAccess
P01072,0,DSPT4_DataAccess
P01075,0,DSPT4_DataAccess
P01084,1,DSPT5_ProcessReviews
P01086,1,DSPT5_ProcessReviews
P01087,1,DSPT5_ProcessReviews
P01099,1,DSPT5_ProcessReviews
P01117,0,DSPT5_ProcessReviews
P01118,0,DSPT5_ProcessReviews
P01128,0,DSPT5_ProcessReviews
P01129,0,DSPT5_ProcessReviews
P01133,0,DSPT5_ProcessReviews
P01161,1,DSPT6_Incidents
P01162,1,DSPT6_Incidents
P01172,1,DSPT6_Incidents
P01173,1,DSPT6_Incidents
P01178,1,DSPT6_Incidents
P01179,1,DSPT6_Incidents
P01184,1,DSPT6_Incidents
P01193,1,DSPT6_Incidents
P01195,1,DSPT6_Incidents
P01196,1,DSPT6_Incidents
P01202,0,DSPT6_Incidents
P01223,0,DSPT6_Incidents
P01227,0,DSPT6_Incidents
P01234,0,DSPT6_Incidents
P01236,0,DSPT6_Incidents
P01237,0,DSPT6_Incidents
P01242,0,DSPT6_Incidents
P01244,0,DSPT6_Incidents
P01246,1,DSPT7_Continuity
P01249,1,DSPT7_Continuity
P01250,1,DSPT7_Continuity
P01258,1,DSPT7_Continuity
P01260,1,DSPT7_Continuity
P01262,1,DSPT7_Continuity
P01263,1,DSPT7_Continuity
P01268,1,DSPT7_Continuity
P01269,1,DSPT7_Continuity
P01296,1,DSPT7_Continuity
P01320,0,DSPT7_Continuity
P01327,0,DSPT7_Continuity
P01328,0,DSPT7_Continuity
P01331,0,DSPT7_Continuity
P01335,0,DSPT7_Continuity
P01349,0,DSPT7_Continuity
P01352,0,DSPT7_Continuity
P01365,1,DSPT8_UnsupportedSystems
P01366,1,DSPT8_UnsupportedSystems
P01367,1,DSPT8_UnsupportedSystems
P01368,1,DSPT8_UnsupportedSystems
P01369,1,DSPT8_UnsupportedSystems
P01374,1,DSPT8_UnsupportedSystems
P01375,1,DSPT8_UnsupportedSystems
P01384,1,DSPT8_UnsupportedSystems
P01393,0,DSPT8_UnsupportedSystems
P01409,0,DSPT8_UnsupportedSystems
P01424,1,DSPT9_ITProtection
P01432,1,DSPT9_ITProtection
P01439,1,DSPT9_ITProtection
P01441,1,DSPT9_ITProtection
P01450,1,DSPT9_ITProtection
P01451,1,DSPT9_ITProtection
P01452,1,DSPT9_ITProtection
P01453,1,DSPT9_ITProtection
P01455,1,DSPT9_ITProtection
P01472,1,DSPT9_ITProtection
P01486,0,DSPT9_ITProtection
P01491,0,DSPT9_ITProtection
P01492,0,DSPT9_ITProtection
P01499,0,DSPT9_ITProtection
P01533,1,DSPT10_Suppliers
P01554,1,DSPT10_Suppliers
P01556,1,DSPT10_Suppliers
P01583,0,DSPT10_Suppliers
P01587,0,DSPT10_Suppliers
P01594,1,CE1_Firewalls
P01598,1,CE1_Firewalls
P01600,1,CE1_Firewalls
P01602,1,CE1_Firewalls
P01610,1,CE1_Firewalls
P01617,1,CE1_Firewalls
P01622,1,CE1_Firewalls
P01628,1,CE1_Firewalls
P01637,1,CE1_Firewalls
P01640,1,CE1_Firewalls
P01644,1,CE1_Firewalls
P01655,1,CE1_Firewalls
P01671,1,CE1_Firewalls
P01679,0,CE1_Firewalls
P01680,0,CE1_Firewalls
P01681,0,CE1_Firewalls
P01683,0,CE1_Firewalls
P01687,0,CE1_Firewalls
P01690,0,CE1_Firewalls
P01700,0,CE1_Firewalls
P01720,0,CE1_Firewalls
P01734,0,CE1_Firewalls
P01735,0,CE1_Firewalls
P01749,0,CE1_Firewalls
P01763,1,CE2_SecureConfig
P01777,1,CE2_SecureConfig
P01778,1,CE2_SecureConfig
P01781,1,CE2_SecureConfig
P01791,1,CE2_SecureConfig
P01797,1,CE2_SecureConfig
P01803,1,CE2_SecureConfig
P01809,1,CE2_SecureConfig
P01827,1,CE2_SecureConfig
P01832,0,CE2_SecureConfig
P01836,0,CE2_SecureConfig
P01847,0,CE2_SecureConfig
P01851,0,CE2_SecureConfig
P01870,0,CE2_SecureConfig
P01895,0,CE2_SecureConfig
P01898,0,CE2_SecureConfig
P01910,1,CE3_Patching
P01927,1,CE3_Patching
P01930,1,CE3_Patching
P01934,1,CE3_Patching
P01944,1,CE3_Patching
P01955,1,CE3_Patching
P01977,0,CE3_Patching
P01978,0,CE3_Patching
P01982,0,CE3_Patching
P01987,0,CE3_Patching
P01989,0,CE3_Patching
P01990,0,CE3_Patching
P02014,0,CE3_Patching
P02015,0,CE3_Patching
P02018,1,CE4_AccessControl
P02031,1,CE4_AccessControl
P02033,1,CE4_AccessControl
P02052,1,CE4_AccessControl
P02054,1,CE4_AccessControl
P02057,1,CE4_AccessControl
P02059,1,CE4_AccessControl
P02066,1,CE4_AccessControl
P02093,1,CE4_AccessControl
P02099,0,CE4_AccessControl
P02103,0,CE4_AccessControl
P02104,0,CE4_AccessControl
P02132,0,CE4_AccessControl
P02159,0,CE4_AccessControl
P02160,0,CE4_AccessControl
