id,sentence_text,label,label_text,control,framework,criterion,source,seed_id,seed_text,validated
P00001,"A firewall boundary separates our internal network from the internet,",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,boundary firewall in place and configured,llm_paraphrase,S0001,A boundary firewall is in place between our internal network and the internet.,False
P00002,"Our internal network is shielded from the internet by a boundary firewall,",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,boundary firewall in place and configured,llm_paraphrase,S0001,A boundary firewall is in place between our internal network and the internet.,False
P00003,"A firewall is in place between our internal network and the internet,",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,boundary firewall in place and configured,llm_paraphrase,S0001,A boundary firewall is in place between our internal network and the internet.,False
P00004,"Our internal network is fully segregated from the internet via a firewall,",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,boundary firewall in place and configured,llm_paraphrase,S0001,A boundary firewall is in place between our internal network and the internet.,False
P00005,"The internet is isolated from our internal network by a firewall boundary,",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,boundary firewall in place and configured,llm_paraphrase,S0001,A boundary firewall is in place between our internal network and the internet.,False
P00006,Our internal network is protected from the internet by a firewall that separates it from the external network.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,boundary firewall in place and configured,llm_paraphrase,S0001,A boundary firewall is in place between our internal network and the internet.,False
P00007,The office router's firewall is correctly configured and active on all connections.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,boundary firewall in place and configured,llm_paraphrase,S0002,The office router's firewall is configured and active on all connections.,False
P00008,All connections require the office router's firewall to be configured and active.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,boundary firewall in place and configured,llm_paraphrase,S0002,The office router's firewall is configured and active on all connections.,False
P00009,Firewalls on all connections are currently configured and operational.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,boundary firewall in place and configured,llm_paraphrase,S0002,The office router's firewall is configured and active on all connections.,False
P00010,All connection settings require a configured and active firewall on the office router.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,boundary firewall in place and configured,llm_paraphrase,S0002,The office router's firewall is configured and active on all connections.,False
P00011,The office router's firewall is mandatory on all connections.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,boundary firewall in place and configured,llm_paraphrase,S0002,The office router's firewall is configured and active on all connections.,False
P00012,All connections must have the office router's firewall activated and configured.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,boundary firewall in place and configured,llm_paraphrase,S0002,The office router's firewall is configured and active on all connections.,False
P00013,Windows Defender Firewall is mandatory on all devices used by our organisation.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,host/software firewalls enabled on devices,llm_paraphrase,S0003,Windows Defender Firewall is enabled on every laptop and desktop we use.,False
P00014,All laptops and desktops have active Windows Defender Firewall configurations.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,host/software firewalls enabled on devices,llm_paraphrase,S0003,Windows Defender Firewall is enabled on every laptop and desktop we use.,False
P00015,Every user-owned laptop and desktop must have Windows Defender Firewall enabled.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,host/software firewalls enabled on devices,llm_paraphrase,S0003,Windows Defender Firewall is enabled on every laptop and desktop we use.,False
P00016,Laptops and desktops used by our staff are required to have Windows Defender Firewall enabled.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,host/software firewalls enabled on devices,llm_paraphrase,S0003,Windows Defender Firewall is enabled on every laptop and desktop we use.,False
P00017,Windows Defender Firewall is installed and enabled on every staff-owned laptop and desktop.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,host/software firewalls enabled on devices,llm_paraphrase,S0003,Windows Defender Firewall is enabled on every laptop and desktop we use.,False
P00018,All devices must have Windows Defender Firewall enabled by the staff member using them.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,host/software firewalls enabled on devices,llm_paraphrase,S0003,Windows Defender Firewall is enabled on every laptop and desktop we use.,False
P00019,"Software firewalls must be enabled on all staff devices, including those used remotely.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,host/software firewalls enabled on devices,llm_paraphrase,S0004,"Software firewalls are switched on for all staff devices, including those used off-site.",False
P00020,All staff devices must have firewalls activated for all devices used outside the premises.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,host/software firewalls enabled on devices,llm_paraphrase,S0004,"Software firewalls are switched on for all staff devices, including those used off-site.",False
P00021,"Firewalls are mandatory on all staff devices, including those accessed via public Wi-Fi.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,host/software firewalls enabled on devices,llm_paraphrase,S0004,"Software firewalls are switched on for all staff devices, including those used off-site.",False
P00022,Staff devices used off-site must have firewalls enabled as a security requirement.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,host/software firewalls enabled on devices,llm_paraphrase,S0004,"Software firewalls are switched on for all staff devices, including those used off-site.",False
P00023,"The use of firewalls is mandatory for all staff devices, including those accessed remotely.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,host/software firewalls enabled on devices,llm_paraphrase,S0004,"Software firewalls are switched on for all staff devices, including those used off-site.",False
P00024,"Firewalls are required on all staff devices, including those used to access the internet from outside the care home.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,host/software firewalls enabled on devices,llm_paraphrase,S0004,"Software firewalls are switched on for all staff devices, including those used off-site.",False
P00025,The router's default password was set as soon as it was installed.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,default router/firewall passwords changed,llm_paraphrase,S0005,The default password on our router was changed when it was installed.,False
P00026,"Upon installation, the default router password was immediately changed.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,default router/firewall passwords changed,llm_paraphrase,S0005,The default password on our router was changed when it was installed.,False
P00027,"When the router was first set up, the default password was replaced with a new one.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,default router/firewall passwords changed,llm_paraphrase,S0005,The default password on our router was changed when it was installed.,False
P00028,"As part of the router's initial configuration, the default password was altered.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,default router/firewall passwords changed,llm_paraphrase,S0005,The default password on our router was changed when it was installed.,False
P00029,The router's default password was updated to a new setting upon its first activation.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,default router/firewall passwords changed,llm_paraphrase,S0005,The default password on our router was changed when it was installed.,False
P00030,The default password on the router was changed by default at the time of installation.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,default router/firewall passwords changed,llm_paraphrase,S0005,The default password on our router was changed when it was installed.,False
P00031,"We updated the firewall credentials to a strong, unique value.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,default router/firewall passwords changed,llm_paraphrase,S0006,"We replaced the manufacturer's password on the firewall with a strong, unique one.",False
P00032,All firewall access was secured using a novel password.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,default router/firewall passwords changed,llm_paraphrase,S0006,"We replaced the manufacturer's password on the firewall with a strong, unique one.",False
P00033,"Firewall access was secured with a robust, individualised password.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,default router/firewall passwords changed,llm_paraphrase,S0006,"We replaced the manufacturer's password on the firewall with a strong, unique one.",False
P00034,"We substituted the original firewall password with a secure, one-time entry.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,default router/firewall passwords changed,llm_paraphrase,S0006,"We replaced the manufacturer's password on the firewall with a strong, unique one.",False
P00035,"The firewall was updated to use a new, non-standard password.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,default router/firewall passwords changed,llm_paraphrase,S0006,"We replaced the manufacturer's password on the firewall with a strong, unique one.",False
P00036,Strong passwords were assigned for firewall access.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,default router/firewall passwords changed,llm_paraphrase,S0006,"We replaced the manufacturer's password on the firewall with a strong, unique one.",False
P00037,"Inbound connections are blocked by default, requiring explicit approval for access.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections blocked by default,llm_paraphrase,S0007,Inbound connections are blocked by default unless specifically approved.,False
P00038,"By default, incoming connections are prohibited and may only be permitted with formal authorisation.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections blocked by default,llm_paraphrase,S0007,Inbound connections are blocked by default unless specifically approved.,False
P00039,All incoming connections are initially denied and may be approved only through formal authorisation.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections blocked by default,llm_paraphrase,S0007,Inbound connections are blocked by default unless specifically approved.,False
P00040,Default blockage of incoming connections requires explicit approval for access to be granted.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections blocked by default,llm_paraphrase,S0007,Inbound connections are blocked by default unless specifically approved.,False
P00041,Incoming connections are blocked by default; formal approval is required to gain access.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections blocked by default,llm_paraphrase,S0007,Inbound connections are blocked by default unless specifically approved.,False
P00042,Inbound connections are prohibited unless specifically and formally approved for connection.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections blocked by default,llm_paraphrase,S0007,Inbound connections are blocked by default unless specifically approved.,False
P00043,"Incoming traffic without pre-approved access is denied at the network boundary,",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections blocked by default,llm_paraphrase,S0008,Unapproved incoming traffic is denied at the network boundary.,False
P00044,"Unapproved incoming traffic is rejected at the network perimeter,",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections blocked by default,llm_paraphrase,S0008,Unapproved incoming traffic is denied at the network boundary.,False
P00045,"All incoming traffic requiring prior authorisation is blocked at the network entry point,",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections blocked by default,llm_paraphrase,S0008,Unapproved incoming traffic is denied at the network boundary.,False
P00046,"Unapproved incoming traffic is not permitted to pass through the network gateway,",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections blocked by default,llm_paraphrase,S0008,Unapproved incoming traffic is denied at the network boundary.,False
P00047,"No incoming traffic without prior approval is allowed at the network boundary,",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections blocked by default,llm_paraphrase,S0008,Unapproved incoming traffic is denied at the network boundary.,False
P00048,Traffic requiring pre-arranged access is not permitted to enter the network system,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections blocked by default,llm_paraphrase,S0008,Unapproved incoming traffic is denied at the network boundary.,False
P00049,Firewall rules are reviewed by our IT provider every six months to ensure ongoing security compliance.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,firewall rules reviewed periodically,llm_paraphrase,S0009,Firewall rules are reviewed by our IT provider every six months.,False
P00050,Our IT provider conducts regular firewall reviews every six months.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,firewall rules reviewed periodically,llm_paraphrase,S0009,Firewall rules are reviewed by our IT provider every six months.,False
P00051,It is mandatory that our IT provider reviews firewall rules every six months.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,firewall rules reviewed periodically,llm_paraphrase,S0009,Firewall rules are reviewed by our IT provider every six months.,False
P00052,The IT provider is required to review firewall rules every six months for our care home.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,firewall rules reviewed periodically,llm_paraphrase,S0009,Firewall rules are reviewed by our IT provider every six months.,False
P00053,"As part of our security protocol, our IT provider reviews firewall rules every six months.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,firewall rules reviewed periodically,llm_paraphrase,S0009,Firewall rules are reviewed by our IT provider every six months.,False
P00054,"By law, our IT provider must review firewall rules every six months for compliance with regulatory requirements.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,firewall rules reviewed periodically,llm_paraphrase,S0009,Firewall rules are reviewed by our IT provider every six months.,False
P00055,We conduct an annual IT review as part of our compliance procedure to ensure the firewall configuration is adequate.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,firewall rules reviewed periodically,llm_paraphrase,S0010,We check the firewall configuration as part of our annual IT review.,False
P00056,We review and update our firewall configuration annually to maintain our regulatory compliance obligations.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,firewall rules reviewed periodically,llm_paraphrase,S0010,We check the firewall configuration as part of our annual IT review.,False
P00057,The annual IT review is a mandatory control to ensure our firewalls are configured in accordance with industry standards.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,firewall rules reviewed periodically,llm_paraphrase,S0010,We check the firewall configuration as part of our annual IT review.,False
P00058,"As part of our ongoing monitoring, we conduct an annual review of the firewall configuration to verify its effectiveness.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,firewall rules reviewed periodically,llm_paraphrase,S0010,We check the firewall configuration as part of our annual IT review.,False
P00059,Our annual IT review includes a critical assessment of the firewall configuration to ensure it meets our compliance requirements.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,firewall rules reviewed periodically,llm_paraphrase,S0010,We check the firewall configuration as part of our annual IT review.,False
P00060,The annual IT review is a key compliance control that ensures our firewalls are configured correctly and securely.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,firewall rules reviewed periodically,llm_paraphrase,S0010,We check the firewall configuration as part of our annual IT review.,False
P00061,The administrative interface of our firewall is not accessible from the internet.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,admin interface protected / not internet-facing,llm_paraphrase,S0011,The firewall's administrative interface is not accessible from the internet.,False
P00062,Our firewall's internet connectivity is not enabled.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,admin interface protected / not internet-facing,llm_paraphrase,S0011,The firewall's administrative interface is not accessible from the internet.,False
P00063,The firewall's administrative interface is currently inaccessible from the public network.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,admin interface protected / not internet-facing,llm_paraphrase,S0011,The firewall's administrative interface is not accessible from the internet.,False
P00064,Our firewall's internet setting is set to 'not accessible'.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,admin interface protected / not internet-facing,llm_paraphrase,S0011,The firewall's administrative interface is not accessible from the internet.,False
P00065,"We have a firewall in place, but its admin interface cannot be accessed online.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,admin interface protected / not internet-facing,llm_paraphrase,S0011,The firewall's administrative interface is not accessible from the internet.,False
P00066,The firewall's internet access is currently disabled.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,admin interface protected / not internet-facing,llm_paraphrase,S0011,The firewall's administrative interface is not accessible from the internet.,False
P00067,Remote management of the router requires multi-factor authentication to be implemented,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,admin interface protected / not internet-facing,llm_paraphrase,S0012,Remote management of the router requires multi-factor authentication.,False
P00068,Multi-factor authentication must be used when remotely managing the router,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,admin interface protected / not internet-facing,llm_paraphrase,S0012,Remote management of the router requires multi-factor authentication.,False
P00069,Remote router management is only permitted with multi-factor authentication in place,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,admin interface protected / not internet-facing,llm_paraphrase,S0012,Remote management of the router requires multi-factor authentication.,False
P00070,Multi-factor authentication is mandatory for all remote router management activities,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,admin interface protected / not internet-facing,llm_paraphrase,S0012,Remote management of the router requires multi-factor authentication.,False
P00071,The router management protocol requires multi-factor authentication for all remote access,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,admin interface protected / not internet-facing,llm_paraphrase,S0012,Remote management of the router requires multi-factor authentication.,False
P00072,Remote access to the router must be authenticated using multi-factor methods,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,admin interface protected / not internet-facing,llm_paraphrase,S0012,Remote management of the router requires multi-factor authentication.,False
P00073,The staff network is segregated from the guest Wi-Fi for visitors and residents to maintain confidentiality and data protection.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,boundary firewall in place and configured,llm_paraphrase,S0013,Guest Wi-Fi for visitors and residents is kept separate from the staff network.,False
P00074,It is essential that the guest Wi-Fi for visitors and residents is isolated from the staff network.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,boundary firewall in place and configured,llm_paraphrase,S0013,Guest Wi-Fi for visitors and residents is kept separate from the staff network.,False
P00075,Resident and visitor Wi-Fi must be separated from the staff network to prevent data breaches.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,boundary firewall in place and configured,llm_paraphrase,S0013,Guest Wi-Fi for visitors and residents is kept separate from the staff network.,False
P00076,The guest Wi-Fi for residents and visitors is kept on a separate network from the staff network.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,boundary firewall in place and configured,llm_paraphrase,S0013,Guest Wi-Fi for visitors and residents is kept separate from the staff network.,False
P00077,A separate network for guest Wi-Fi must be established for visitors and residents to prevent data mixing.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,boundary firewall in place and configured,llm_paraphrase,S0013,Guest Wi-Fi for visitors and residents is kept separate from the staff network.,False
P00078,"The guest Wi-Fi for visitors and residents must be on a distinct, staff-separated network for privacy and security reasons.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,boundary firewall in place and configured,llm_paraphrase,S0013,Guest Wi-Fi for visitors and residents is kept separate from the staff network.,False
P00079,All unused ports on the network equipment must be disabled to maintain security,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections blocked by default,llm_paraphrase,S0014,Unused ports on the network equipment have been disabled.,False
P00080,Unused ports on the network equipment are mandatory to be disabled,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections blocked by default,llm_paraphrase,S0014,Unused ports on the network equipment have been disabled.,False
P00081,All unused ports on network equipment must be disabled in accordance with security protocols,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections blocked by default,llm_paraphrase,S0014,Unused ports on the network equipment have been disabled.,False
P00082,Disabled ports on network equipment are a requirement for regulatory compliance,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections blocked by default,llm_paraphrase,S0014,Unused ports on the network equipment have been disabled.,False
P00083,Unused ports on network equipment must be disabled as part of our security policy,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections blocked by default,llm_paraphrase,S0014,Unused ports on the network equipment have been disabled.,False
P00084,All unused network ports on equipment must be disabled for network security purposes,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections blocked by default,llm_paraphrase,S0014,Unused ports on the network equipment have been disabled.,False
P00085,There is no network firewall in place to protect the home's internet access.,0,NON_COMPLIANT,CE1_Firewalls,Cyber Essentials,no firewall at the network boundary,llm_paraphrase,S0015,There is no firewall protecting the home's network from the internet.,False
P00086,A network firewall is required to safeguard the home's online connectivity.,0,NON_COMPLIANT,CE1_Firewalls,Cyber Essentials,no firewall at the network boundary,llm_paraphrase,S0015,There is no firewall protecting the home's network from the internet.,False
P00087,Internet access is not properly secured due to the absence of a firewall.,0,NON_COMPLIANT,CE1_Firewalls,Cyber Essentials,no firewall at the network boundary,llm_paraphrase,S0015,There is no firewall protecting the home's network from the internet.,False
P00088,The home's network is not protected from external internet threats without a firewall.,0,NON_COMPLIANT,CE1_Firewalls,Cyber Essentials,no firewall at the network boundary,llm_paraphrase,S0015,There is no firewall protecting the home's network from the internet.,False
P00089,A firewall is essential to defend the home's online presence against cyber threats.,0,NON_COMPLIANT,CE1_Firewalls,Cyber Essentials,no firewall at the network boundary,llm_paraphrase,S0015,There is no firewall protecting the home's network from the internet.,False
P00090,"Proper network protection is not in place, as a firewall is not implemented to safeguard internet access.",0,NON_COMPLIANT,CE1_Firewalls,Cyber Essentials,no firewall at the network boundary,llm_paraphrase,S0015,There is no firewall protecting the home's network from the internet.,False
P00091,"The broadband router was installed in accordance with the organisation's security protocols, which includes firewall configuration.",0,NON_COMPLIANT,CE1_Firewalls,Cyber Essentials,no firewall at the network boundary,llm_paraphrase,S0016,The broadband router was installed without any firewall configuration.,False
P00092,"The broadband router installation did not meet the required security parameters, specifically lacking firewall configuration.",0,NON_COMPLIANT,CE1_Firewalls,Cyber Essentials,no firewall at the network boundary,llm_paraphrase,S0016,The broadband router was installed without any firewall configuration.,False
P00093,It has been confirmed that the broadband router was installed without the mandatory firewall configuration.,0,NON_COMPLIANT,CE1_Firewalls,Cyber Essentials,no firewall at the network boundary,llm_paraphrase,S0016,The broadband router was installed without any firewall configuration.,False
P00094,"The broadband router setup did not adhere to the specified security requirements, notably the absence of firewall configuration.",0,NON_COMPLIANT,CE1_Firewalls,Cyber Essentials,no firewall at the network boundary,llm_paraphrase,S0016,The broadband router was installed without any firewall configuration.,False
