id,sentence_text,label,label_text,control,framework,criterion,source,seed_id,seed_text,validated
P00001,"A firewall boundary separates our internal network from the internet,",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,boundary firewall in place and configured,llm_paraphrase,S0001,A boundary firewall is in place between our internal network and the internet.,False
P00002,"A firewall barrier is in place to segregate our internal network from the internet,",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,boundary firewall in place and configured,llm_paraphrase,S0001,A boundary firewall is in place between our internal network and the internet.,False
P00003,"All internet traffic is filtered through our internal network's firewall before reaching our systems,",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,boundary firewall in place and configured,llm_paraphrase,S0001,A boundary firewall is in place between our internal network and the internet.,False
P00004,"The internet connection is segregated from our internal network using a firewall for security purposes,",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,boundary firewall in place and configured,llm_paraphrase,S0001,A boundary firewall is in place between our internal network and the internet.,False
P00005,"A firewall acts as a physical and logical barrier to separate our internal network from the internet,",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,boundary firewall in place and configured,llm_paraphrase,S0001,A boundary firewall is in place between our internal network and the internet.,False
P00006,The internal network is kept separate from the internet by an operational firewall policy.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,boundary firewall in place and configured,llm_paraphrase,S0001,A boundary firewall is in place between our internal network and the internet.,False
P00007,The firewall is currently active on all network connections to ensure compliance.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,boundary firewall in place and configured,llm_paraphrase,S0002,The office router's firewall is configured and active on all connections.,False
P00008,All staff are required to verify the firewall status on their devices before initiating connections.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,boundary firewall in place and configured,llm_paraphrase,S0002,The office router's firewall is configured and active on all connections.,False
P00009,The IT system requires active firewall configuration on all devices before connecting to the network.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,boundary firewall in place and configured,llm_paraphrase,S0002,The office router's firewall is configured and active on all connections.,False
P00010,"As part of our security protocols, all devices must have active firewall configurations in place.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,boundary firewall in place and configured,llm_paraphrase,S0002,The office router's firewall is configured and active on all connections.,False
P00011,The IT system necessitates active firewall configuration for all connections to ensure regulatory compliance.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,boundary firewall in place and configured,llm_paraphrase,S0002,The office router's firewall is configured and active on all connections.,False
P00012,All devices must be set up with active firewalls on all connections to maintain data security standards.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,boundary firewall in place and configured,llm_paraphrase,S0002,The office router's firewall is configured and active on all connections.,False
P00013,Windows Defender Firewall is mandatory on all workstations,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,host/software firewalls enabled on devices,llm_paraphrase,S0003,Windows Defender Firewall is enabled on every laptop and desktop we use.,False
P00014,All laptops and desktops have Windows Defender Firewall enabled,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,host/software firewalls enabled on devices,llm_paraphrase,S0003,Windows Defender Firewall is enabled on every laptop and desktop we use.,False
P00015,Laptops and desktops must have Windows Defender Firewall active at all times,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,host/software firewalls enabled on devices,llm_paraphrase,S0003,Windows Defender Firewall is enabled on every laptop and desktop we use.,False
P00016,Enabling Windows Defender Firewall on all devices is a mandatory security policy,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,host/software firewalls enabled on devices,llm_paraphrase,S0003,Windows Defender Firewall is enabled on every laptop and desktop we use.,False
P00017,All workstations are subject to Windows Defender Firewall configuration requirements,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,host/software firewalls enabled on devices,llm_paraphrase,S0003,Windows Defender Firewall is enabled on every laptop and desktop we use.,False
P00018,Windows Defender Firewall must be enabled on every laptop and desktop used by staff,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,host/software firewalls enabled on devices,llm_paraphrase,S0003,Windows Defender Firewall is enabled on every laptop and desktop we use.,False
P00019,"All staff devices, including those used off-site, must have software firewalls switched on.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,host/software firewalls enabled on devices,llm_paraphrase,S0004,"Software firewalls are switched on for all staff devices, including those used off-site.",False
P00020,Staff devices used off-site must have software firewalls activated.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,host/software firewalls enabled on devices,llm_paraphrase,S0004,"Software firewalls are switched on for all staff devices, including those used off-site.",False
P00021,"Software firewalls are mandatory on all staff devices, including those used remotely.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,host/software firewalls enabled on devices,llm_paraphrase,S0004,"Software firewalls are switched on for all staff devices, including those used off-site.",False
P00022,"Staff devices, including those used off-site, are required to have software firewalls enabled.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,host/software firewalls enabled on devices,llm_paraphrase,S0004,"Software firewalls are switched on for all staff devices, including those used off-site.",False
P00023,"Software firewalls must be switched on for all staff devices, including those accessed remotely.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,host/software firewalls enabled on devices,llm_paraphrase,S0004,"Software firewalls are switched on for all staff devices, including those used off-site.",False
P00024,"All staff devices, including those used remotely, must have software firewalls in place.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,host/software firewalls enabled on devices,llm_paraphrase,S0004,"Software firewalls are switched on for all staff devices, including those used off-site.",False
P00025,The router password was updated when it was initially set up.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,default router/firewall passwords changed,llm_paraphrase,S0005,The default password on our router was changed when it was installed.,False
P00026,We have updated our router password upon installation.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,default router/firewall passwords changed,llm_paraphrase,S0005,The default password on our router was changed when it was installed.,False
P00027,The router password was changed upon installation as a security precaution.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,default router/firewall passwords changed,llm_paraphrase,S0005,The default password on our router was changed when it was installed.,False
P00028,Our router password was set to a secure default upon initial configuration.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,default router/firewall passwords changed,llm_paraphrase,S0005,The default password on our router was changed when it was installed.,False
P00029,A secure default password was applied to our router when it was first installed.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,default router/firewall passwords changed,llm_paraphrase,S0005,The default password on our router was changed when it was installed.,False
P00030,Our router password was updated to a secure default value when the device was initially activated.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,default router/firewall passwords changed,llm_paraphrase,S0005,The default password on our router was changed when it was installed.,False
P00031,"We have updated the firewall password to a robust, non-repetitive one.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,default router/firewall passwords changed,llm_paraphrase,S0006,"We replaced the manufacturer's password on the firewall with a strong, unique one.",False
P00032,"Our firewall password has been changed to a secure, one-time use key.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,default router/firewall passwords changed,llm_paraphrase,S0006,"We replaced the manufacturer's password on the firewall with a strong, unique one.",False
P00033,"The manufacturer's password has been replaced with a robust, unique password on the firewall.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,default router/firewall passwords changed,llm_paraphrase,S0006,"We replaced the manufacturer's password on the firewall with a strong, unique one.",False
P00034,"A strong, unique password has been assigned to the firewall.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,default router/firewall passwords changed,llm_paraphrase,S0006,"We replaced the manufacturer's password on the firewall with a strong, unique one.",False
P00035,"The firewall now uses a non-repetitive, secure password.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,default router/firewall passwords changed,llm_paraphrase,S0006,"We replaced the manufacturer's password on the firewall with a strong, unique one.",False
P00036,"We have strengthened the firewall password to a unique, non-guessable value.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,default router/firewall passwords changed,llm_paraphrase,S0006,"We replaced the manufacturer's password on the firewall with a strong, unique one.",False
P00037,"Inbound connections are blocked by default, only allowing approved connections to establish.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections blocked by default,llm_paraphrase,S0007,Inbound connections are blocked by default unless specifically approved.,False
P00038,Approved inbound connections are the exception to our default blocking policy.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections blocked by default,llm_paraphrase,S0007,Inbound connections are blocked by default unless specifically approved.,False
P00039,"By default, inbound connections are blocked, except for those that have been explicitly approved.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections blocked by default,llm_paraphrase,S0007,Inbound connections are blocked by default unless specifically approved.,False
P00040,"Inbound connections are blocked by default, with only explicitly approved connections permitted.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections blocked by default,llm_paraphrase,S0007,Inbound connections are blocked by default unless specifically approved.,False
P00041,Our default policy blocks inbound connections; exceptions are only allowed through explicit approval.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections blocked by default,llm_paraphrase,S0007,Inbound connections are blocked by default unless specifically approved.,False
P00042,Only connections explicitly approved by our system are permitted to establish inbound connections by default.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections blocked by default,llm_paraphrase,S0007,Inbound connections are blocked by default unless specifically approved.,False
