id,sentence_text,pass2_control,pass2_label,note
S0002,The office router's firewall is configured and active on all connections.,CE1_Firewalls,1,
S0004,"Software firewalls are switched on for all staff devices, including those used off-site.",CE1_Firewalls,1,
S0008,Unapproved incoming traffic is denied at the network boundary.,CE1_Firewalls,1,
S0011,The firewall's administrative interface is not accessible from the internet.,CE1_Firewalls,1,
S0019,The router is still using the default password printed on the label.,CE1_Firewalls,0,
S0020,Nobody changed the manufacturer's password when the firewall was set up.,CE1_Firewalls,0,
S0032,We uninstall any applications that are not required for staff to do their jobs.,CE2_SecureConfig,1,
S0037,Devices are configured to our security baseline before being issued to staff.,CE2_SecureConfig,1,
S0042,The care records tablet has never had its factory password changed.,CE2_SecureConfig,0,
S0045,Accounts for staff who left months ago are still active on the system.,CE2_SecureConfig,0,
S0057,All software we use is still supported and receives security updates.,CE3_Patching,1,
S0058,We check that our applications remain within the vendor's support period.,CE3_Patching,1,
S0069,Some machines are running outdated operating systems that are past end-of-life.,CE3_Patching,0,
S0087,Remote access to the care system does not require multi-factor authentication.,CE4_AccessControl,0,
S0114,"Staff use their own laptops, which have no anti-virus protection.",CE5_Malware,0,
S0125,Responsibility for confidential resident information is clearly assigned.,DSPT1_ConfidentialData,1,
S0142,Data policy breaches have occurred but no action was taken.,DSPT2_StaffResponsibilities,0,
S0148,Information governance is covered in the first week of induction.,DSPT3_Training,1,
S0150,Our training matrix shows all staff are up to date on data security.,DSPT3_Training,1,
S0152,Completion of the mandatory data security assessment is tracked for every member of staff.,DSPT3_Training,1,
S0159,Only thirty per cent of staff have completed the data security module.,DSPT3_Training,0,
S0166,Access to care records is restricted to staff who need it for their role.,DSPT4_DataAccess,1,
S0181,The provider had no system for managing who could access sensitive data.,DSPT4_DataAccess,0,
S0190,Previous data breaches did not lead to any change in practice.,DSPT5_ProcessReviews,0,
S0195,Any reportable breach is notified to the ICO within the required timeframe.,DSPT6_Incidents,1,
S0196,All incidents and near misses are recorded in our incident log.,DSPT6_Incidents,1,
S0220,Electronic care records are not backed up at all.,DSPT7_Continuity,0,
