id,sentence_text,label,label_text,control,framework,criterion,source
S0001,A boundary firewall is in place between our internal network and the internet.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,boundary firewall in place and configured,ce_definition
S0002,The office router's firewall is configured and active on all connections.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,boundary firewall in place and configured,ce_definition
S0003,Windows Defender Firewall is enabled on every laptop and desktop we use.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,host/software firewalls enabled on devices,ce_definition
S0004,"Software firewalls are switched on for all staff devices, including those used off-site.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,host/software firewalls enabled on devices,ce_definition
S0005,The default password on our router was changed when it was installed.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,default router/firewall passwords changed,ce_definition
S0006,"We replaced the manufacturer's password on the firewall with a strong, unique one.",1,COMPLIANT,CE1_Firewalls,Cyber Essentials,default router/firewall passwords changed,ce_definition
S0007,Inbound connections are blocked by default unless specifically approved.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections blocked by default,ce_definition
S0008,Unapproved incoming traffic is denied at the network boundary.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections blocked by default,ce_definition
S0009,Firewall rules are reviewed by our IT provider every six months.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,firewall rules reviewed periodically,ce_definition
S0010,We check the firewall configuration as part of our annual IT review.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,firewall rules reviewed periodically,cqc_style
S0011,The firewall's administrative interface is not accessible from the internet.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,admin interface protected / not internet-facing,ce_definition
S0012,Remote management of the router requires multi-factor authentication.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,admin interface protected / not internet-facing,ce_definition
S0013,Guest Wi-Fi for visitors and residents is kept separate from the staff network.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,boundary firewall in place and configured,ce_definition
S0014,Unused ports on the network equipment have been disabled.,1,COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections blocked by default,ce_definition
S0015,There is no firewall protecting the home's network from the internet.,0,NON_COMPLIANT,CE1_Firewalls,Cyber Essentials,no firewall at the network boundary,ce_definition
S0016,The broadband router was installed without any firewall configuration.,0,NON_COMPLIANT,CE1_Firewalls,Cyber Essentials,no firewall at the network boundary,cqc_style
S0017,Software firewalls have been turned off on several office computers.,0,NON_COMPLIANT,CE1_Firewalls,Cyber Essentials,firewalls disabled or absent on devices,ce_definition
S0018,Staff laptops used away from the home do not have a firewall enabled.,0,NON_COMPLIANT,CE1_Firewalls,Cyber Essentials,firewalls disabled or absent on devices,ce_definition
S0019,The router is still using the default password printed on the label.,0,NON_COMPLIANT,CE1_Firewalls,Cyber Essentials,default router/firewall passwords still in use,ce_definition
S0020,Nobody changed the manufacturer's password when the firewall was set up.,0,NON_COMPLIANT,CE1_Firewalls,Cyber Essentials,default router/firewall passwords still in use,cqc_style
S0021,Incoming connections from the internet are not restricted.,0,NON_COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections open or unrestricted,ce_definition
S0022,The firewall allows all inbound traffic through by default.,0,NON_COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections open or unrestricted,ce_definition
S0023,The firewall settings have not been reviewed since the system was installed.,0,NON_COMPLIANT,CE1_Firewalls,Cyber Essentials,firewall never reviewed or configured,cqc_style
S0024,No one has looked at the firewall rules in over two years.,0,NON_COMPLIANT,CE1_Firewalls,Cyber Essentials,firewall never reviewed or configured,cqc_style
S0025,The router's admin console can be reached from the internet without protection.,0,NON_COMPLIANT,CE1_Firewalls,Cyber Essentials,admin console exposed to internet without protection,ce_definition
S0026,Visitors and staff use the same Wi-Fi network with no separation between them.,0,NON_COMPLIANT,CE1_Firewalls,Cyber Essentials,no firewall at the network boundary,cqc_style
S0027,All ports on the router were left open when the network was set up.,0,NON_COMPLIANT,CE1_Firewalls,Cyber Essentials,inbound connections open or unrestricted,ce_definition
S0028,There was no evidence of any firewall protecting the care records system.,0,NON_COMPLIANT,CE1_Firewalls,Cyber Essentials,no firewall at the network boundary,cqc_style
S0029,Default passwords are changed on every new device before staff use it.,1,COMPLIANT,CE2_SecureConfig,Cyber Essentials,default passwords changed before deployment,ce_definition
S0030,All equipment is set up with a unique password rather than the factory default.,1,COMPLIANT,CE2_SecureConfig,Cyber Essentials,default passwords changed before deployment,ce_definition
S0031,Software that is not needed for care delivery has been removed from our computers.,1,COMPLIANT,CE2_SecureConfig,Cyber Essentials,unnecessary software removed or disabled,ce_definition
S0032,We uninstall any applications that are not required for staff to do their jobs.,1,COMPLIANT,CE2_SecureConfig,Cyber Essentials,unnecessary software removed or disabled,ce_definition
S0033,User accounts belonging to former staff are disabled and removed.,1,COMPLIANT,CE2_SecureConfig,Cyber Essentials,unused user accounts disabled/removed,ce_definition
S0034,Dormant accounts are identified and closed during our quarterly account review.,1,COMPLIANT,CE2_SecureConfig,Cyber Essentials,unused user accounts disabled/removed,ce_definition
S0035,Auto-run is disabled so USB sticks cannot launch programs automatically.,1,COMPLIANT,CE2_SecureConfig,Cyber Essentials,auto-run/auto-play disabled,ce_definition
S0036,Removable media does not run automatically when plugged into our machines.,1,COMPLIANT,CE2_SecureConfig,Cyber Essentials,auto-run/auto-play disabled,ce_definition
S0037,Devices are configured to our security baseline before being issued to staff.,1,COMPLIANT,CE2_SecureConfig,Cyber Essentials,devices hardened from default settings,ce_definition
S0038,Our IT supplier hardens each machine before it is deployed in the home.,1,COMPLIANT,CE2_SecureConfig,Cyber Essentials,devices hardened from default settings,ce_definition
S0039,We keep a record of all software installed across the home's computers.,1,COMPLIANT,CE2_SecureConfig,Cyber Essentials,a software/asset inventory maintained,ce_definition
S0040,An up-to-date asset register lists every device and application in use.,1,COMPLIANT,CE2_SecureConfig,Cyber Essentials,a software/asset inventory maintained,ce_definition
S0041,Devices are still using the default passwords they came with.,0,NON_COMPLIANT,CE2_SecureConfig,Cyber Essentials,default/manufacturer passwords unchanged,ce_definition
S0042,The care records tablet has never had its factory password changed.,0,NON_COMPLIANT,CE2_SecureConfig,Cyber Essentials,default/manufacturer passwords unchanged,cqc_style
S0043,Staff install software on work computers without asking anyone first.,0,NON_COMPLIANT,CE2_SecureConfig,Cyber Essentials,unnecessary or unknown software left installed,ce_definition
S0044,Several computers have games and personal applications installed on them.,0,NON_COMPLIANT,CE2_SecureConfig,Cyber Essentials,unnecessary or unknown software left installed,cqc_style
S0045,Accounts for staff who left months ago are still active on the system.,0,NON_COMPLIANT,CE2_SecureConfig,Cyber Essentials,dormant or unused accounts left active,ce_definition
S0046,"We do not review user accounts, so unused logins remain open.",0,NON_COMPLIANT,CE2_SecureConfig,Cyber Essentials,dormant or unused accounts left active,ce_definition
S0047,USB devices run automatically as soon as they are plugged in.,0,NON_COMPLIANT,CE2_SecureConfig,Cyber Essentials,auto-run left enabled on removable media,ce_definition
S0048,Auto-run has not been turned off on the office computers.,0,NON_COMPLIANT,CE2_SecureConfig,Cyber Essentials,auto-run left enabled on removable media,ce_definition
S0049,"Computers are used exactly as they arrived, with no security settings applied.",0,NON_COMPLIANT,CE2_SecureConfig,Cyber Essentials,devices left on out-of-the-box settings,ce_definition
S0050,No hardening was carried out on the machines before staff started using them.,0,NON_COMPLIANT,CE2_SecureConfig,Cyber Essentials,devices left on out-of-the-box settings,cqc_style
S0051,There is no list of what software is running on the home's computers.,0,NON_COMPLIANT,CE2_SecureConfig,Cyber Essentials,no inventory of installed software,ce_definition
S0052,The provider could not say how many devices were in use across the service.,0,NON_COMPLIANT,CE2_SecureConfig,Cyber Essentials,no inventory of installed software,cqc_style
S0053,Critical security updates are applied within fourteen days of release.,1,COMPLIANT,CE3_Patching,Cyber Essentials,security updates applied promptly / within 14 days,ce_definition
S0054,High-risk patches are installed promptly once the vendor issues them.,1,COMPLIANT,CE3_Patching,Cyber Essentials,security updates applied promptly / within 14 days,ce_definition
S0055,Automatic updates are switched on across all our computers and tablets.,1,COMPLIANT,CE3_Patching,Cyber Essentials,automatic updates enabled,ce_definition
S0056,Windows Update runs automatically on every device in the home.,1,COMPLIANT,CE3_Patching,Cyber Essentials,automatic updates enabled,ce_definition
S0057,All software we use is still supported and receives security updates.,1,COMPLIANT,CE3_Patching,Cyber Essentials,only supported/maintained software in use,ce_definition
S0058,We check that our applications remain within the vendor's support period.,1,COMPLIANT,CE3_Patching,Cyber Essentials,only supported/maintained software in use,ce_definition
S0059,Operating systems across the home are kept current with the latest updates.,1,COMPLIANT,CE3_Patching,Cyber Essentials,operating systems kept current,ce_definition
S0060,Our IT provider monitors patch status and reports on it monthly.,1,COMPLIANT,CE3_Patching,Cyber Essentials,patch status tracked/monitored,ce_definition
S0061,We track which devices are up to date using our management console.,1,COMPLIANT,CE3_Patching,Cyber Essentials,patch status tracked/monitored,ce_definition
S0062,Equipment that can no longer be updated is replaced rather than kept in use.,1,COMPLIANT,CE3_Patching,Cyber Essentials,unsupported items removed or replaced,ce_definition
S0063,Security updates have not been applied for several months.,0,NON_COMPLIANT,CE3_Patching,Cyber Essentials,updates delayed weeks/months or not applied,ce_definition
S0064,"Patches are installed only when someone remembers, sometimes months late.",0,NON_COMPLIANT,CE3_Patching,Cyber Essentials,updates delayed weeks/months or not applied,cqc_style
S0065,Automatic updates have been turned off because staff found them disruptive.,0,NON_COMPLIANT,CE3_Patching,Cyber Essentials,automatic updates disabled,ce_definition
S0066,Updates are disabled on the medication system computer.,0,NON_COMPLIANT,CE3_Patching,Cyber Essentials,automatic updates disabled,cqc_style
S0067,Several computers are running software the vendor no longer supports.,0,NON_COMPLIANT,CE3_Patching,Cyber Essentials,unsupported/end-of-life software in use,ce_definition
S0068,The office PC still runs an operating system that stopped receiving updates.,0,NON_COMPLIANT,CE3_Patching,Cyber Essentials,unsupported/end-of-life software in use,cqc_style
S0069,Some machines are running outdated operating systems that are past end-of-life.,0,NON_COMPLIANT,CE3_Patching,Cyber Essentials,outdated operating systems running,ce_definition
S0070,There is no way of knowing whether devices have received their updates.,0,NON_COMPLIANT,CE3_Patching,Cyber Essentials,no process for tracking patches,ce_definition
S0071,Nobody monitors whether patches have actually been installed.,0,NON_COMPLIANT,CE3_Patching,Cyber Essentials,no process for tracking patches,cqc_style
S0072,Unsupported equipment is still in daily use with no plan to replace it.,0,NON_COMPLIANT,CE3_Patching,Cyber Essentials,unsupported items knowingly retained without action,ce_definition
S0073,Multi-factor authentication is enabled for all remote access to our systems.,1,COMPLIANT,CE4_AccessControl,Cyber Essentials,MFA enabled on remote/cloud/internet-facing access,ce_definition
S0074,Staff must use a second factor to sign in to our cloud care records.,1,COMPLIANT,CE4_AccessControl,Cyber Essentials,MFA enabled on remote/cloud/internet-facing access,ce_definition
S0075,Our email accounts are protected by multi-factor authentication.,1,COMPLIANT,CE4_AccessControl,Cyber Essentials,MFA enabled on remote/cloud/internet-facing access,ce_definition
S0076,Staff only have access to the systems and records their role requires.,1,COMPLIANT,CE4_AccessControl,Cyber Essentials,least-privilege access,ce_definition
S0077,Access rights are granted on a least-privilege basis and reviewed regularly.,1,COMPLIANT,CE4_AccessControl,Cyber Essentials,least-privilege access,ce_definition
S0078,Care assistants can view care plans but cannot access payroll information.,1,COMPLIANT,CE4_AccessControl,Cyber Essentials,least-privilege access,cqc_style
S0079,Administrator accounts are separate from the accounts used for daily work.,1,COMPLIANT,CE4_AccessControl,Cyber Essentials,"separate admin accounts, not used for daily work",ce_definition
S0080,The manager uses a standard account for email and a separate one for admin tasks.,1,COMPLIANT,CE4_AccessControl,Cyber Essentials,"separate admin accounts, not used for daily work",ce_definition
S0081,Accounts are disabled on a member of staff's last working day.,1,COMPLIANT,CE4_AccessControl,Cyber Essentials,leavers' accounts disabled promptly,ce_definition
S0082,Leavers' access is removed within twenty-four hours of their departure.,1,COMPLIANT,CE4_AccessControl,Cyber Essentials,leavers' accounts disabled promptly,ce_definition
S0083,Every member of staff has their own named login to the care system.,1,COMPLIANT,CE4_AccessControl,Cyber Essentials,individual accounts per user,ce_definition
S0084,Individual accounts mean we can see who accessed each record.,1,COMPLIANT,CE4_AccessControl,Cyber Essentials,individual accounts per user,ce_definition
S0085,A password policy requiring strong passwords is enforced on all accounts.,1,COMPLIANT,CE4_AccessControl,Cyber Essentials,a strong password policy enforced,ce_definition
S0086,Accounts lock after repeated failed sign-in attempts.,1,COMPLIANT,CE4_AccessControl,Cyber Essentials,a strong password policy enforced,ce_definition
S0087,Remote access to the care system does not require multi-factor authentication.,0,NON_COMPLIANT,CE4_AccessControl,Cyber Essentials,no MFA on remote/cloud access,ce_definition
S0088,Staff can sign in to email from home using only a password.,0,NON_COMPLIANT,CE4_AccessControl,Cyber Essentials,no MFA on remote/cloud access,ce_definition
S0089,All staff can see every resident's full record regardless of their role.,0,NON_COMPLIANT,CE4_AccessControl,Cyber Essentials,staff have excessive or blanket access,ce_definition
S0090,Kitchen staff have the same system access as senior care staff.,0,NON_COMPLIANT,CE4_AccessControl,Cyber Essentials,staff have excessive or blanket access,cqc_style
S0091,Everyone signs in with an administrator account to do their everyday work.,0,NON_COMPLIANT,CE4_AccessControl,Cyber Essentials,admin accounts used for everyday tasks,ce_definition
S0092,The manager uses the admin login for email and browsing the internet.,0,NON_COMPLIANT,CE4_AccessControl,Cyber Essentials,admin accounts used for everyday tasks,ce_definition
S0093,Staff who left the home still have working logins to the care system.,0,NON_COMPLIANT,CE4_AccessControl,Cyber Essentials,former staff accounts still active,ce_definition
S0094,Accounts are only removed when someone notices they are no longer needed.,0,NON_COMPLIANT,CE4_AccessControl,Cyber Essentials,former staff accounts still active,cqc_style
S0095,Staff share a single login for the care records system.,0,NON_COMPLIANT,CE4_AccessControl,Cyber Essentials,shared/generic accounts or shared passwords,ce_definition
S0096,The password for the office computer is written on a note beside it.,0,NON_COMPLIANT,CE4_AccessControl,Cyber Essentials,shared/generic accounts or shared passwords,cqc_style
S0097,Night staff use a shared generic account to record care notes.,0,NON_COMPLIANT,CE4_AccessControl,Cyber Essentials,shared/generic accounts or shared passwords,cqc_style
S0098,There is no password policy setting a minimum standard for staff passwords.,0,NON_COMPLIANT,CE4_AccessControl,Cyber Essentials,no password policy / weak or default passwords,ce_definition
S0099,Staff choose their own passwords with no requirements on length or strength.,0,NON_COMPLIANT,CE4_AccessControl,Cyber Essentials,no password policy / weak or default passwords,ce_definition
S0100,Accounts do not lock out after repeated failed login attempts.,0,NON_COMPLIANT,CE4_AccessControl,Cyber Essentials,no password policy / weak or default passwords,ce_definition
S0101,Anti-malware software is installed and running on every computer in the home.,1,COMPLIANT,CE5_Malware,Cyber Essentials,anti-malware installed and active on all devices,ce_definition
S0102,Microsoft Defender is active on all our Windows devices.,1,COMPLIANT,CE5_Malware,Cyber Essentials,anti-malware installed and active on all devices,ce_definition
